A,B,C,D,E,Replicate,Height
-1,-1,-1,-1,-1,1,7.78
1,-1,-1,1,-1,1,8.15
-1,1,-1,1,-1,1,7.5
1,1,-1,-1,-1,1,7.59
-1,-1,1,1,-1,1,7.54
1,-1,1,-1,-1,1,7.69
-1,1,1,-1,-1,1,7.56
1,1,1,1,-1,1,7.56
-1,-1,-1,-1,1,1,7.5
1,-1,-1,1,1,1,7.88
-1,1,-1,1,1,1,7.5
1,1,-1,-1,1,1,7.63
-1,-1,1,1,1,1,7.32
1,-1,1,-1,1,1,7.56
-1,1,1,-1,1,1,7.18
1,1,1,1,1,1,7.81
-1,-1,-1,-1,-1,2,7.78
1,-1,-1,1,-1,2,8.18
-1,1,-1,1,-1,2,7.56
1,1,-1,-1,-1,2,7.56
-1,-1,1,1,-1,2,8
1,-1,1,-1,-1,2,8.09
-1,1,1,-1,-1,2,7.52
1,1,1,1,-1,2,7.81
-1,-1,-1,-1,1,2,7.25
1,-1,-1,1,1,2,7.88
-1,1,-1,1,1,2,7.56
1,1,-1,-1,1,2,7.75
-1,-1,1,1,1,2,7.44
1,-1,1,-1,1,2,7.69
-1,1,1,-1,1,2,7.18
1,1,1,1,1,2,7.5
-1,-1,-1,-1,-1,3,7.81
1,-1,-1,1,-1,3,7.88
-1,1,-1,1,-1,3,7.5
1,1,-1,-1,-1,3,7.75
-1,-1,1,1,-1,3,7.88
1,-1,1,-1,-1,3,8.06
-1,1,1,-1,-1,3,7.44
1,1,1,1,-1,3,7.69
-1,-1,-1,-1,1,3,7.12
1,-1,-1,1,1,3,7.44
-1,1,-1,1,1,3,7.5
1,1,-1,-1,1,3,7.56
-1,-1,1,1,1,3,7.44
1,-1,1,-1,1,3,7.62
-1,1,1,-1,1,3,7.25
1,1,1,1,1,3,7.59
